City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
237,Sawtell,AU,-30.3833,153.1,75.2,57,4,17.27,clear sky
238,Altamira,BR,-3.2033,-52.2064,77.25,72,98,0.69,overcast clouds
239,Iskateley,RU,67.6803,53.1512,-18.71,82,1,2.86,clear sky
240,Geraldton,AU,-28.7667,114.6,80.6,44,0,25.32,clear sky
241,Esperance,AU,-33.8667,121.9,59.0,63,90,5.75,overcast clouds
242,Anloga,GH,5.7947,0.8973,80.6,89,20,9.22,few clouds
243,Kieta,PG,-6.2167,155.6333,84.96,61,99,5.44,overcast clouds
244,Fairbanks,US,64.8378,-147.7164,17.6,73,90,3.04,overcast clouds
245,Cervo,ES,43.6702,-7.4101,45.88,75,62,4.83,broken clouds
246,Muros,ES,42.7762,-9.0603,39.0,93,29,1.01,scattered clouds
247,Salt,JO,32.0392,35.7272,44.6,93,4,1.74,mist
248,Provideniya,RU,64.3833,-173.3,13.39,94,100,6.33,overcast clouds
249,Aksarka,RU,66.5606,67.7975,-5.57,91,100,3.04,overcast clouds
250,Portland,US,45.5234,-122.6762,50.0,81,90,1.52,overcast clouds
251,Rio Gallegos,AR,-51.6226,-69.2181,59.0,58,40,17.27,scattered clouds
252,Hasaki,JP,35.7333,140.8333,39.2,93,75,1.14,broken clouds
253,Fremont,US,37.5483,-121.9886,69.01,63,40,9.22,scattered clouds
254,Constitucion,CL,-35.3333,-72.4167,61.56,59,0,23.09,clear sky
255,San Patricio,US,28.017,-97.5169,64.4,16,20,12.66,few clouds
256,Issia,CI,6.4922,-6.5856,74.71,85,28,3.31,scattered clouds
257,Sept-Iles,CA,50.2001,-66.3821,30.2,74,0,2.3,clear sky
258,Port Elizabeth,ZA,-33.918,25.5701,71.6,64,0,16.11,light rain
259,Remontnoye,RU,46.5614,43.6501,23.0,100,73,20.13,broken clouds
260,Yumen,CN,40.2833,97.2,7.36,77,64,7.36,broken clouds
261,Kazachinskoye,RU,57.6953,93.2761,-5.71,89,100,6.44,overcast clouds
262,Bomi,SL,7.2461,-11.5258,75.81,92,18,2.19,few clouds
263,Bereda,ES,43.2686,-7.5406,36.0,100,66,5.99,broken clouds
264,Isangel,VU,-19.55,169.2667,84.2,89,90,5.75,overcast clouds
265,Masallatah,LY,32.6167,14.0,52.57,71,13,13.38,few clouds
266,Saint George,US,37.1041,-113.5841,60.8,17,1,0.4,clear sky
267,Cabinda,AO,-5.55,12.2,78.24,80,62,5.99,broken clouds
268,Mahebourg,MU,-20.4081,57.7,78.8,89,20,8.05,light rain
269,Arrifes,PT,37.7667,-25.7,61.0,88,75,16.11,light rain
270,Deputatskiy,RU,69.3,139.9,-21.44,89,100,2.26,overcast clouds
271,La Ronge,CA,55.1001,-105.2842,19.4,79,100,6.91,overcast clouds
272,Moindou,NC,-21.6924,165.677,84.2,74,75,3.44,broken clouds
273,Ostrovnoy,RU,68.0531,39.5131,14.85,95,79,3.06,broken clouds
274,Hidalgo,MX,20.5,-99.0,60.19,65,95,7.09,overcast clouds
275,Diu,IN,20.7141,70.9822,67.57,33,0,6.44,clear sky
276,Wanaka,NZ,-44.7,169.15,71.2,32,0,4.27,clear sky
277,Sangar,RU,63.9242,127.4739,-46.77,76,78,1.83,broken clouds
278,Wisconsin Rapids,US,44.3836,-89.8174,37.0,93,90,5.75,snow
279,Hamilton,US,39.1834,-84.5333,39.99,56,75,9.22,broken clouds
280,Eydhafushi,MV,5.1033,73.0708,80.78,70,71,8.68,broken clouds
281,Virginia Beach,US,36.8529,-75.978,57.2,51,75,5.75,broken clouds
282,Opuwo,NA,-18.0607,13.84,63.68,71,10,4.85,clear sky
283,Salalah,OM,17.0151,54.0924,69.8,40,0,2.3,clear sky
284,Boa Vista,BR,2.8197,-60.6733,84.2,61,40,8.05,scattered clouds
285,Port Hedland,AU,-20.3167,118.5667,87.8,66,25,10.36,scattered clouds
286,Verkhoyansk,RU,67.5447,133.385,-32.1,81,100,1.45,light snow
287,Acapulco,MX,16.8634,-99.8901,80.6,83,90,4.61,light rain
288,East London,ZA,-33.0153,27.9116,72.86,73,100,13.02,overcast clouds
289,Omboue,GA,-1.5746,9.2618,77.0,89,39,4.27,light rain
290,Lagoa,PT,39.05,-27.9833,60.6,87,0,18.23,clear sky
291,Bellevue,US,47.6104,-122.2007,54.0,66,40,2.08,scattered clouds
292,Atar,MR,20.5169,-13.0499,63.5,25,100,13.33,overcast clouds
293,Puerto Ayacucho,VE,5.6639,-67.6236,80.6,72,70,3.47,broken clouds
294,Mogadishu,SO,2.0371,45.3438,76.5,86,0,18.14,clear sky
295,Nova Olimpia,BR,-14.7972,-57.2881,78.89,80,96,2.53,moderate rain
296,Schwabisch Gmund,DE,48.7995,9.7981,32.0,93,90,3.44,overcast clouds
297,Viedma,AR,-40.8135,-62.9967,71.01,62,11,15.1,few clouds
298,Kaniama,CD,-7.5667,24.1833,62.06,96,75,2.77,broken clouds
299,Cristobal Obregon,MX,16.35,-93.5333,75.2,64,75,17.27,broken clouds
300,Cabo San Lucas,MX,22.8909,-109.9124,79.0,41,1,12.66,clear sky
301,Pizarro,CO,4.9533,-77.366,76.91,88,100,6.24,light rain
302,Okha,RU,53.5739,142.9478,-18.6,87,0,8.39,clear sky
303,Poronaysk,RU,49.2167,143.1167,-5.62,87,100,5.68,overcast clouds
304,Paamiut,GL,61.994,-49.6678,24.35,94,84,13.13,broken clouds
305,Mogapi,BW,-22.323,27.8349,72.46,82,66,5.97,broken clouds
306,Puerto Carreno,CO,6.189,-67.4859,83.23,61,58,11.23,broken clouds
307,Aborlan,PH,9.4352,118.5492,77.0,94,40,4.61,moderate rain
308,Sangueya,GN,10.7,-14.3667,71.56,91,5,0.83,clear sky
309,Rantepao,ID,-2.9701,119.8978,68.58,89,100,3.13,moderate rain
310,Bad Oldesloe,DE,53.8117,10.3742,30.0,81,100,1.01,overcast clouds
311,Tsumeb,NA,-19.2333,17.7167,68.0,88,94,5.75,overcast clouds
312,Tailai,CN,46.3833,123.4,-8.19,82,0,5.41,clear sky
313,Marsa Matruh,EG,31.3525,27.2453,59.0,67,40,10.36,scattered clouds
314,Port Hardy,CA,50.6996,-127.4199,48.2,87,75,9.22,broken clouds
315,Gualeguay,AR,-33.1416,-59.3097,81.21,50,79,6.29,broken clouds
316,Saint-Leu,RE,-21.15,55.2833,78.8,83,0,5.75,clear sky
317,Pundaguitan,PH,6.3711,126.1689,82.22,76,58,7.85,light rain
318,Gizo,SB,-8.103,156.8419,84.24,75,100,11.79,light rain
319,Elliot,ZA,-31.3333,27.85,62.04,92,100,2.3,light rain
320,Phu Ly,VN,20.5411,105.9139,63.1,81,100,2.53,overcast clouds
321,Ayan,RU,56.45,138.1667,-15.36,78,1,4.0,clear sky
322,Saint-Georges,GD,12.0564,-61.7485,80.6,78,40,11.5,scattered clouds
323,Pontes E Lacerda,BR,-15.2261,-59.3353,76.57,88,100,2.24,moderate rain
324,Ansalta,RU,42.6894,46.1178,32.34,87,31,4.63,light snow
325,Lavrentiya,RU,65.5833,-171.0,2.61,90,100,6.38,overcast clouds
326,Arona,ES,28.0996,-16.681,63.0,63,20,6.91,few clouds
327,Kodiak,US,57.79,-152.4072,33.8,80,90,4.21,overcast clouds
328,Kinablangan,PH,7.6947,126.5503,78.94,81,94,5.55,overcast clouds
329,Sacama,EC,-3.9,-79.2667,50.94,100,100,2.86,light rain
330,Rudnaya Pristan,RU,44.3614,135.8116,11.26,84,100,14.27,overcast clouds
331,Moyobamba,PE,-6.05,-76.9667,70.0,83,75,1.01,broken clouds
332,Alekseyevsk,RU,57.8406,108.3492,-22.94,84,100,3.51,overcast clouds
333,Poykovskiy,RU,61.2333,73.3333,6.8,85,90,11.18,snow
334,El Dorado,US,38.7666,-120.5177,68.0,30,1,3.44,clear sky
335,Lata,PT,40.1629,-8.3327,41.0,90,0,3.47,clear sky
336,Bandar-E Lengeh,IR,26.5579,54.8807,63.05,66,0,7.45,clear sky
337,Aklavik,CA,68.2191,-135.0107,-11.2,77,100,13.8,overcast clouds
338,Uvat,RU,59.1433,68.8953,10.58,95,100,8.16,overcast clouds
339,Zhicheng,CN,30.2956,111.5047,42.01,44,70,7.34,broken clouds
340,Laguna,US,38.421,-121.4238,64.99,67,1,8.05,haze
341,Rudbar,AF,30.15,62.6,50.02,36,76,6.46,broken clouds
342,Iqaluit,CA,63.7506,-68.5145,12.2,79,90,17.27,snow
343,Mayumba,GA,-3.432,10.6554,77.74,85,100,6.08,moderate rain
344,Sambava,MG,-14.2667,50.1667,78.37,86,59,7.52,light rain
345,Sao Filipe,CV,14.8961,-24.4956,72.59,68,100,13.76,overcast clouds
346,Shambu,ET,9.5667,37.1,53.94,49,63,1.83,broken clouds
347,Chifeng,CN,42.2683,118.9636,-10.32,79,0,7.78,clear sky
348,Comodoro Rivadavia,AR,-45.8667,-67.5,60.8,82,40,6.91,scattered clouds
