City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,Itarema,-2.9248,-39.9167,77.83,81,28,11.52,BR,2021-01-11 22:54:10
159,Cherskiy,68.75,161.3,-34.85,82,0,1.41,RU,2021-01-11 22:51:05
160,Bambous Virieux,-20.3428,57.7575,79.0,94,40,18.41,MU,2021-01-11 22:51:12
161,Chara,56.9064,118.2631,-22.2,74,100,0.51,RU,2021-01-11 22:51:07
162,Zaysan,47.4667,84.8667,6.06,82,16,1.21,KZ,2021-01-11 22:57:16
163,Tuatapere,-46.1333,167.6833,67.6,44,0,2.64,NZ,2021-01-11 22:50:32
164,Hasaki,35.7333,140.8333,36.0,100,40,8.05,JP,2021-01-11 22:50:37
165,Thinadhoo,0.5333,72.9333,80.65,78,62,16.2,MV,2021-01-11 22:51:09
166,Vardo,70.3705,31.1107,17.6,86,75,19.57,NO,2021-01-11 22:50:49
167,Bouar,5.934,15.596,67.55,25,93,6.46,CF,2021-01-11 22:57:17
168,Svetlaya,46.5389,138.3297,8.53,79,100,3.76,RU,2021-01-11 22:57:17
169,Kununurra,-15.7667,128.7333,82.4,89,75,5.75,AU,2021-01-11 22:51:07
170,Batemans Bay,-35.7167,150.1833,75.0,75,100,4.14,AU,2021-01-11 22:51:22
171,Piacabucu,-10.4056,-36.4344,79.18,79,100,13.65,BR,2021-01-11 22:54:27
172,Tura,25.5198,90.2201,58.57,62,3,2.71,IN,2021-01-11 22:51:03
173,Severo-Kurilsk,50.6789,156.125,24.39,90,99,27.58,RU,2021-01-11 22:50:54
174,Minab,27.1467,57.0801,42.8,39,0,4.61,IR,2021-01-11 22:54:16
175,Atambua,-9.1061,124.8925,78.19,83,29,0.92,ID,2021-01-11 22:50:48
176,Arshan,46.2732,44.22,26.6,100,100,6.71,RU,2021-01-11 22:57:17
177,Saint George,37.1041,-113.5841,51.01,27,1,2.19,US,2021-01-11 22:50:42
178,San Fernando,15.0286,120.6898,71.6,73,75,6.91,PH,2021-01-11 22:54:39
179,San Policarpo,12.1791,125.5072,79.03,86,100,20.69,PH,2021-01-11 22:50:51
180,Melbu,68.5044,14.8297,28.4,59,0,17.27,NO,2021-01-11 22:57:18
181,Faya,18.3851,42.4509,44.6,81,40,8.05,SA,2021-01-11 22:56:44
182,Hambantota,6.1241,81.1185,73.4,100,40,2.3,LK,2021-01-11 22:50:44
183,Burnie,-41.0667,145.9167,70.0,57,6,14.0,AU,2021-01-11 22:54:48
184,Pevek,69.7008,170.3133,-32.06,85,27,1.97,RU,2021-01-11 22:50:32
185,Noumea,-22.2763,166.4572,81.0,89,75,10.36,NC,2021-01-11 22:51:18
186,Harindanga,22.0383,88.3214,66.2,88,98,3.44,IN,2021-01-11 22:57:18
187,Awjilah,29.1081,21.2869,64.4,42,72,10.96,LY,2021-01-11 22:56:04
